#{"t_start": 1760372762.3799906, "env_id": "None"}
r,l,t
-3076.299994,200,129.004401
-2592.400003,200,129.153441
-2100.899999,200,129.37985
-2536.200011,200,129.550216
-2056.2,200,129.766017
-2761.399998,200,130.011762
-3720.699999,200,130.165318
-2216.099996,200,130.303393
-3913.4,200,141.076733
-3326.600007,200,141.309797
-3300.09999,200,141.506861
-3091.800001,200,141.73686
-2885.500003,200,141.9087
-2197.999998,200,142.053889
-3044.000005,200,142.1978
-4284.999991,200,142.389711
-3860.800002,200,142.675634
-3452.2,200,142.979149
-2728.500011,200,143.159609
-2602.200008,200,143.32915
-5534.100007,200,143.512685
-3132.100007,200,143.722026
-2995.500015,200,143.876032
-2627.4,200,156.774696
-2345.0,200,156.99583
-2076.599994,200,157.238002
-2075.900002,200,157.533729
-2406.999999,200,157.688646
-2444.300005,200,157.86321
-2518.000007,200,158.006335
-1965.699997,200,158.197894
-1763.799995,200,158.426029
-2305.999994,200,158.579984
-3296.3,200,158.810995
-4123.899999,200,159.004792
-3435.400001,200,159.202074
-2929.499999,200,159.464272
-2600.700006,200,159.654998
-2748.199997,200,170.849981
-2950.5,200,171.005865
-2279.399996,200,171.167435
-3251.999998,200,171.340524
-2633.399997,200,171.554282
-2700.199996,200,171.797815
-2751.999997,200,172.000658
-2274.800004,200,172.196458
-3149.500001,200,172.396416
-4855.699995,200,172.618258
-4074.599994,200,172.846264
-4005.699999,200,173.027807
-2479.699995,200,173.187326
-2098.099993,200,173.389345
-2857.400004,200,173.545078
-4843.400003,200,185.733755
-2652.59999,200,185.918764
-2918.599988,200,186.053684
-3240.900002,200,186.205871
-2955.999995,200,186.415877
-3102.200005,200,186.5864
-2363.599992,200,186.799412
-4803.400002,200,186.936711
-3267.300001,200,187.129207
-2145.899999,200,187.345206
-2930.699995,200,187.533818
-2209.299998,200,187.692404
-2376.099997,200,187.896775
-2460.800007,200,188.104668
-2651.699995,200,188.365339
-2548.099999,200,199.237823
-3948.999989,200,199.45175
-2555.700003,200,199.647597
-3641.900009,200,199.810782
-2419.2,200,199.998981
-2716.5,200,200.195663
-2984.999996,200,200.431457
-2607.900003,200,200.630455
-4240.599997,200,200.789553
-3487.900001,200,200.965552
-3087.699996,200,201.134094
-3620.300003,200,201.293022
-3457.599996,200,201.519796
-3539.199997,200,201.780943
-2337.400003,200,202.017066
-2839.700005,200,214.264052
-2075.600009,200,214.42821
-2715.000009,200,214.636233
-2193.3,200,214.835201
-2599.800001,200,215.055875
-2248.599996,200,215.332216
-3036.700001,200,215.481203
-4703.499995,200,215.701482
-3618.4,200,215.944551
-3059.200009,200,216.169484
-4843.500005,200,216.359485
-3536.200001,200,216.518792
-2738.299998,200,216.672009
-2056.899992,200,216.886744
-2550.699997,200,217.019743
-3037.799997,200,228.532753
-3464.899996,200,228.780043
-3863.499991,200,228.936498
-4400.499978,200,229.08459
-2690.299999,200,229.26654
-2593.300001,200,229.446
-2227.100005,200,229.678888
-2990.100007,200,229.910124
-2990.999995,200,230.112325
-2447.299996,200,230.334276
-2165.900008,200,230.50879
-2453.799993,200,230.631793
-2008.499995,200,230.795908
-4287.59999,200,230.984904
-2655.499995,200,231.132356
-3070.100004,200,241.722108
-3742.900007,200,241.903105
-2171.600001,200,242.11132
-2960.799999,200,242.248833
-2379.699989,200,242.416831
-3415.400003,200,242.596913
-2479.099997,200,242.891017
-2529.700012,200,243.144884
-4662.699989,200,243.352528
-3157.099993,200,243.477535
-2728.1,200,243.56653
-2471.000009,200,243.706053
-2230.200005,200,243.887667
-4351.000007,200,244.157797
-2904.999998,200,244.300232
-1883.400004,200,254.8178
-2768.699998,200,254.908799
-2874.099997,200,255.007464
-2830.599997,200,255.105462
-3366.800003,200,255.176462
-1978.999995,200,255.251462
-2360.400002,200,255.325462
-2792.900008,200,255.397461
-2567.199994,200,255.494741
